NodeNumber,xPos,yPos,zPos
2028175,3.4416599e+03,-3.2048999e+02,4.1500000e+02
2028176,3.4258999e+03,-3.2241000e+02,4.1519998e+02
2028177,3.4104500e+03,-3.2645999e+02,4.1532999e+02
2028178,3.3950100e+03,-3.2991998e+02,4.1537000e+02
2028179,3.3795698e+03,-3.3366998e+02,4.1544998e+02
2028180,3.3626499e+03,-3.3882999e+02,4.1331000e+02
2028181,3.3469199e+03,-3.4266000e+02,4.1350998e+02
2028182,3.3310698e+03,-3.4653000e+02,4.1363998e+02
2028183,3.3153599e+03,-3.5041998e+02,4.1414999e+02
2028184,3.2997100e+03,-3.5431000e+02,4.1460999e+02
2028185,3.2843298e+03,-3.5925000e+02,4.1487000e+02
2028186,3.2690798e+03,-3.6450998e+02,4.1491000e+02
2028187,3.2544800e+03,-3.7076999e+02,4.1410999e+02
2028188,3.2407300e+03,-3.7872998e+02,4.1219998e+02
2028189,3.2345999e+03,-3.8309000e+02,4.0963998e+02
2028190,3.2232800e+03,-3.9091000e+02,4.0812000e+02
2028191,3.2263499e+03,-4.2872000e+02,3.7856998e+02
2028192,3.2374900e+03,-4.4767999e+02,3.8319998e+02
2028193,3.2436799e+03,-4.5607999e+02,3.8569998e+02
2028194,3.2380999e+03,-4.1963998e+02,3.8194998e+02
2028195,3.2492600e+03,-4.3859998e+02,3.8659000e+02
2028196,3.2554399e+03,-4.4698999e+02,3.8806998e+02
2028197,3.4736899e+03,-3.1951999e+02,4.3094000e+02
2028198,3.4576599e+03,-3.2007999e+02,4.2820999e+02
2028199,3.4415798e+03,-3.2119000e+02,4.2613998e+02
2028200,3.4255400e+03,-3.2275998e+02,4.2454999e+02
2028201,3.5266699e+03,-3.7988998e+02,4.0772998e+02
2028202,3.5383899e+03,-3.6926999e+02,4.1059998e+02
2028203,3.5516899e+03,-3.6073999e+02,4.1363000e+02
2028204,3.6133098e+03,-3.5128000e+02,4.2464999e+02
2028205,3.6287300e+03,-3.5538000e+02,4.2679999e+02
2028206,3.6433298e+03,-3.6192999e+02,4.2850000e+02
2028207,3.6566799e+03,-3.7081000e+02,4.2987000e+02
2028208,3.6685200e+03,-3.8167999e+02,4.3042999e+02
2028209,3.5168899e+03,-3.7400998e+02,4.0494998e+02
2028210,3.5169099e+03,-3.5567999e+02,4.0492999e+02
2028211,3.5168799e+03,-3.9234000e+02,4.0491000e+02
2028212,3.5662400e+03,-3.5454999e+02,4.1657999e+02
2028213,3.5816499e+03,-3.5085001e+02,4.1945999e+02
2028214,3.5974700e+03,-3.4975000e+02,4.2213000e+02
2028215,3.6784299e+03,-3.9429999e+02,4.2763998e+02
2028216,3.5281499e+03,-3.6556998e+02,4.0779999e+02
2028217,3.5406799e+03,-3.5832999e+02,4.1078998e+02
2028218,3.5542600e+03,-3.5250000e+02,4.1382999e+02
2028219,3.6436699e+03,-3.5235999e+02,4.3000000e+02
2028220,3.6572998e+03,-3.5810999e+02,4.3192999e+02
2028221,3.6698799e+03,-3.6522000e+02,4.3344000e+02
2028222,3.6811799e+03,-3.7350998e+02,4.3472998e+02
2028223,3.5296199e+03,-3.5123999e+02,4.0794000e+02
2028224,3.5429500e+03,-3.4738998e+02,4.1100000e+02
2028225,3.5568298e+03,-3.4425998e+02,4.1407999e+02
2028226,3.6440100e+03,-3.4278998e+02,4.3151999e+02
2028227,3.6579099e+03,-3.4541000e+02,4.3400000e+02
2028228,3.6712700e+03,-3.4873999e+02,4.3639999e+02
2028229,3.6839900e+03,-3.5263000e+02,4.3856000e+02
2028230,3.6987900e+03,-3.5210999e+02,4.4184000e+02
2028231,3.6959900e+03,-3.7298999e+02,4.3797000e+02
2028232,3.6932000e+03,-3.9381998e+02,4.3100998e+02
2028233,3.7135999e+03,-3.5157999e+02,4.4500000e+02
2028234,3.7107900e+03,-3.7247000e+02,4.4122998e+02
2028235,3.7079900e+03,-3.9332999e+02,4.3434000e+02
2028236,3.7284199e+03,-3.5106000e+02,4.4822998e+02
2028237,3.7255898e+03,-3.7194998e+02,4.4447998e+02
2028238,3.7227898e+03,-3.9281998e+02,4.3767999e+02
2028239,3.5031799e+03,-3.5606000e+02,4.0137000e+02
2028240,3.5059500e+03,-3.7454999e+02,4.0178998e+02
2028241,3.5091199e+03,-4.0025000e+02,4.0322998e+02
2028242,3.7461499e+03,-3.4750000e+02,5.8004999e+02
2028243,3.7502500e+03,-3.6719000e+02,5.7989001e+02
2028244,3.7559199e+03,-3.9767999e+02,5.8202997e+02
2028245,3.7298198e+03,-3.4581000e+02,5.7859998e+02
2028246,3.7141699e+03,-3.4629999e+02,5.7662000e+02
2028247,3.6994600e+03,-3.4669000e+02,5.7375000e+02
2028248,3.6834500e+03,-3.4725000e+02,5.7064001e+02
2028249,3.6684299e+03,-3.4769998e+02,5.6776001e+02
2028250,3.6529399e+03,-3.4810999e+02,5.6172998e+02
2028251,3.6374600e+03,-3.4851999e+02,5.5871997e+02
2028252,3.6220100e+03,-3.4892999e+02,5.5566998e+02
2028253,3.6065598e+03,-3.4934000e+02,5.5266998e+02
2028254,3.5911299e+03,-3.4975998e+02,5.4964001e+02
2028255,3.5757000e+03,-3.5016998e+02,5.4662000e+02
2028256,3.5602800e+03,-3.5059000e+02,5.4360999e+02
2028257,3.5448599e+03,-3.5100998e+02,5.4059998e+02
2028258,3.5294500e+03,-3.5142999e+02,5.3759998e+02
2028259,3.5140698e+03,-3.5185001e+02,5.3558997e+02
2028260,3.4985999e+03,-3.5229999e+02,5.3259998e+02
2028261,3.4832000e+03,-3.5275998e+02,5.2954999e+02
2028262,3.4677998e+03,-3.5301999e+02,5.2640997e+02
2028263,3.4523999e+03,-3.5334000e+02,5.2427997e+02
2028264,3.4369800e+03,-3.5410999e+02,5.2128998e+02
2028265,3.4215598e+03,-3.5563998e+02,5.1952997e+02
2028266,3.4061899e+03,-3.5770999e+02,5.1701001e+02
2028267,3.3907998e+03,-3.6000000e+02,5.1415997e+02
2028268,3.7331799e+03,-3.6344000e+02,5.7933997e+02
2028269,3.7175300e+03,-3.6410999e+02,5.7737000e+02
2028270,3.7030200e+03,-3.6475998e+02,5.7462000e+02
2028271,3.6867800e+03,-3.6560001e+02,5.7154999e+02
2028272,3.6718699e+03,-3.6631000e+02,5.6869000e+02
2028273,3.6563999e+03,-3.6694998e+02,5.6275000e+02
2028274,3.6409099e+03,-3.6760001e+02,5.5976996e+02
2028275,3.6254399e+03,-3.6825000e+02,5.5677997e+02
2028276,3.6100000e+03,-3.6889999e+02,5.5379999e+02
2028277,3.5945598e+03,-3.6956000e+02,5.5082001e+02
2028278,3.5791399e+03,-3.7022000e+02,5.4785999e+02
2028279,3.5637200e+03,-3.7088000e+02,5.4489001e+02
2028280,3.5482900e+03,-3.7153998e+02,5.4196997e+02
2028281,3.5328899e+03,-3.7219998e+02,5.3901001e+02
2028282,3.5175000e+03,-3.7288000e+02,5.3703998e+02
2028283,3.5020200e+03,-3.7359000e+02,5.3407001e+02
2028284,3.4865999e+03,-3.7425998e+02,5.3121997e+02
2028285,3.4712800e+03,-3.7487000e+02,5.2770001e+02
2028286,3.4562300e+03,-3.7550000e+02,5.2401001e+02
2028287,3.4404800e+03,-3.7631998e+02,5.2344000e+02
2028288,3.4249600e+03,-3.7769998e+02,5.2135999e+02
2028289,3.4095798e+03,-3.7944000e+02,5.1863000e+02
2028290,3.3941199e+03,-3.8135001e+02,5.1579999e+02
2028291,3.7366899e+03,-3.8109000e+02,5.7988000e+02
2028292,3.7211199e+03,-3.8197998e+02,5.7810999e+02
2028293,3.7063298e+03,-3.8288000e+02,5.7547998e+02
2028294,3.6902900e+03,-3.8392999e+02,5.7239996e+02
2028295,3.6751799e+03,-3.8487000e+02,5.6962000e+02
2028296,3.6597998e+03,-3.8576999e+02,5.6370996e+02
2028297,3.6443198e+03,-3.8666000e+02,5.6079999e+02
2028298,3.6288599e+03,-3.8756000e+02,5.5787000e+02
2028299,3.6134299e+03,-3.8845999e+02,5.5495001e+02
2028300,3.5980000e+03,-3.8937000e+02,5.5202997e+02
2028301,3.5825798e+03,-3.9026999e+02,5.4910999e+02
2028302,3.5671599e+03,-3.9117999e+02,5.4620001e+02
2028303,3.5517400e+03,-3.9209000e+02,5.4329999e+02
2028304,3.5363198e+03,-3.9298999e+02,5.4041998e+02
2028305,3.5209299e+03,-3.9391000e+02,5.3853998e+02
2028306,3.5054299e+03,-3.9485001e+02,5.3564001e+02
2028307,3.4900200e+03,-3.9578000e+02,5.3276996e+02
2028308,3.4745400e+03,-3.9656000e+02,5.2989001e+02
2028309,3.4577900e+03,-3.9720999e+02,5.2804999e+02
2028310,3.4435798e+03,-3.9860001e+02,5.2433997e+02
2028311,3.4283499e+03,-3.9978000e+02,5.2314996e+02
2028312,3.4129099e+03,-4.0092999e+02,5.2069000e+02
2028313,3.3975000e+03,-4.0275000e+02,5.1742999e+02
2028314,3.7402800e+03,-3.9875000e+02,5.8039996e+02
2028315,3.7247800e+03,-3.9988000e+02,5.7916998e+02
2028316,3.7093799e+03,-4.0104999e+02,5.7623999e+02
2028317,3.6939399e+03,-4.0222000e+02,5.7340997e+02
2028318,3.6785300e+03,-4.0338000e+02,5.7051996e+02
2028319,3.6630999e+03,-4.0453000e+02,5.6469000e+02
2028320,3.6477000e+03,-4.0569998e+02,5.6177997e+02
2028321,3.6322700e+03,-4.0685999e+02,5.5895001e+02
2028322,3.6168699e+03,-4.0801999e+02,5.5606000e+02
2028323,3.6014500e+03,-4.0917999e+02,5.5320996e+02
2028324,3.5860400e+03,-4.1034000e+02,5.5033002e+02
2028325,3.5706299e+03,-4.1150000e+02,5.4746997e+02
2028326,3.5551899e+03,-4.1264999e+02,5.4464001e+02
2028327,3.5397700e+03,-4.1381000e+02,5.4181000e+02
2028328,3.5243298e+03,-4.1494998e+02,5.3996997e+02
2028329,3.5089500e+03,-4.1612000e+02,5.3710999e+02
2028330,3.4933899e+03,-4.1722998e+02,5.3452997e+02
2028331,3.4725598e+03,-4.1834998e+02,5.3070996e+02
